name,year,selling_price,km_driven,fuel,seller_type,transmission,mileage,engine,max_power,seats
Maruti Swift Dzire VDI,2014,9900,145500,Diesel,Individual,Manual,4.27,1248.0,74.0,5.0
Skoda Rapid 1.5 TDI Ambition,2014,8140,120000,Diesel,Individual,Manual,4.73,1498.0,103.52,5.0
Honda City 2017-2020 EXi,2006,3476,140000,Petrol,Individual,Manual,5.65,1497.0,78.0,5.0
Hyundai i20 Sportz Diesel,2010,4950,127000,Diesel,Individual,Manual,4.35,1396.0,90.0,5.0
Maruti Swift VXI BSIII,2007,2860,120000,Petrol,Individual,Manual,6.21,1298.0,88.2,5.0
Hyundai Xcent 1.2 VTVT E Plus,2017,9680,45000,Petrol,Individual,Manual,4.97,1197.0,81.86,5.0
Maruti Wagon R LXI DUO BSIII,2007,2112,175000,LPG,Individual,Manual,3.23,1061.0,57.5,5.0
Maruti 800 DX BSII,2001,990,5000,Petrol,Individual,Manual,6.21,796.0,37.0,4.0
Toyota Etios VXD,2011,7700,90000,Diesel,Individual,Manual,4.24,1364.0,67.1,5.0
Ford Figo Diesel Celebration Edition,2013,4400,169000,Diesel,Individual,Manual,5.0,1399.0,68.1,5.0
Renault Duster 110PS Diesel RxL,2014,11000,68000,Diesel,Individual,Manual,5.26,1461.0,108.45,5.0
Maruti Zen LX,2005,2024,100000,Petrol,Individual,Manual,5.78,993.0,60.0,5.0
Maruti Swift Dzire VDi,2009,6160,140000,Diesel,Individual,Manual,5.18,1248.0,73.9,5.0
Maruti Wagon R LXI Minor,2009,3960,90000,Petrol,Individual,Manual,5.29,1061.0,67.0,5.0
Mahindra KUV 100 mFALCON G80 K8 5str,2016,8800,40000,Petrol,Individual,Manual,5.51,1198.0,82.0,5.0
Maruti Ertiga SHVS VDI,2016,17116,70000,Diesel,Individual,Manual,4.08,1248.0,88.5,7.0
Hyundai i20 1.4 CRDi Asta,2012,11000,53000,Diesel,Individual,Manual,4.35,1396.0,90.0,5.0
Maruti Alto LX,2002,3300,80000,Petrol,Individual,Manual,5.08,796.0,46.3,5.0
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,14960,100000,Diesel,Individual,Manual,4.44,1396.0,88.73,5.0
Mahindra Verito 1.5 D4 BSIII,2011,3828,100000,Diesel,Individual,Manual,4.76,1461.0,64.1,5.0
Honda WR-V i-DTEC VX,2017,20900,50000,Diesel,Individual,Manual,3.92,1498.0,98.6,5.0
Maruti Swift Dzire ZDI,2015,11550,40000,Diesel,Individual,Manual,3.76,1248.0,74.0,5.0
Maruti SX4 ZDI,2012,13200,72000,Diesel,Individual,Manual,4.65,1248.0,88.8,5.0
Tata Tigor 2017-2020 XZ,2018,11000,35000,Petrol,Individual,Manual,4.93,1199.0,83.81,5.0
Maruti Baleno Delta 1.2,2016,12650,45000,Petrol,Individual,Manual,4.67,1197.0,83.1,5.0
